,Features,VIF Factor
0,Intercept,611.2
60,lnequipmon,307.2
68,lnwiremon,213.6
47,equip,205.3
99,spoused,126.9
66,lntollmon,111.8
107,wireless,98.1
67,lntollten,86.5
69,lnwireten,83.7
58,lncardten,60.0
61,lnequipten,59.9
100,spousedcat,59.7
103,tollfree,50.5
15,card2tenure,32.6
64,lnlongten,26.8
70,marital,25.6
57,lncardmon,24.1
20,cardtenure,23.7
62,lninc,20.6
6,callcard,20.2
102,tenure,18.5
16,card2tenurecat,17.9
43,ed,15.7
44,edcat,14.7
53,inccat,13.0
21,cardtenurecat,12.1
63,lnlongmon,11.2
3,addresscat,10.3
2,address,9.1
26,carvalue,8.1
46,employ,8.0
45,empcat,7.7
10,carcatvalue,7.7
4,agecat,6.1
65,lnothdebt,5.8
40,debtinc,4.6
98,retire,3.3
59,lncreddebt,2.9
23,carown,2.9
32,commutecat,2.5
30,commutecar,2.5
54,internet,2.4
82,pager,2.3
24,cars,2.3
7,callwait,2.2
39,confer,2.2
106,voice,2.2
48,forward,2.2
94,reside,2.1
8,carbought,1.9
104,townsize,1.9
78,ownpc,1.9
42,ebill,1.9
80,owntv,1.8
25,cartype,1.8
71,multline,1.8
75,ownfax,1.8
79,ownpda,1.7
81,ownvcr,1.7
72,news,1.7
74,owndvd,1.6
73,owncd,1.6
77,ownipod,1.5
76,owngame,1.5
41,default,1.5
55,jobcat,1.5
52,hourstv,1.4
56,jobsat,1.4
27,churn,1.4
93,region,1.3
37,commutetime,1.3
12,card2,1.2
11,card,1.2
38,commutewalk,1.2
97,response_03,1.1
36,commuterail,1.1
101,telecommute,1.1
9,carbuy,1.1
34,commutenonmotor,1.1
95,response_01,1.1
35,commutepublic,1.1
1,active,1.1
5,bfast,1.1
31,commutecarpool,1.1
29,commutebus,1.1
28,commutebike,1.1
50,homeown,1.1
19,cardfee,1.0
33,commutemotorcycle,1.0
105,union,1.0
51,hometype,1.0
13,card2benefit,1.0
14,card2fee,1.0
22,cardtype,1.0
96,response_02,1.0
18,cardbenefit,1.0
17,card2type,1.0
92,reason,1.0
91,polparty,1.0
90,polcontrib,1.0
89,pets_small,1.0
88,pets_saltfish,1.0
87,pets_reptiles,1.0
86,pets_freshfish,1.0
85,pets_dogs,1.0
84,pets_cats,1.0
83,pets_birds,1.0
49,gender,1.0
