,region,townsize,gender,agecat,ed,edcat,jobcat,union,employ,empcat,retire,lninc,inccat,debtinc,lncreddebt,lnothdebt,default,jobsat,marital,spoused,spousedcat,reside,pets_cats,pets_dogs,pets_birds,pets_reptiles,pets_small,pets_saltfish,pets_freshfish,homeown,hometype,address,addresscat,cars,carown,cartype,carvalue,carcatvalue,carbought,carbuy,commutecat,commutetime,commutecar,commutemotorcycle,commutecarpool,commutebus,commuterail,commutepublic,commutebike,commutewalk,commutenonmotor,telecommute,reason,polparty,polcontrib,card,cardtype,cardbenefit,cardfee,cardtenure,cardtenurecat,card2,card2type,card2benefit,card2fee,card2tenure,card2tenurecat,active,bfast,tenure,churn,lnlongmon,lnlongten,tollfree,lntollmon,lntollten,equip,lnequipmon,lnequipten,callcard,lncardmon,lncardten,wireless,lnwiremon,lnwireten,multline,voice,pager,internet,callwait,forward,confer,ebill,owntv,hourstv,ownvcr,owndvd,owncd,ownpda,ownpc,ownipod,owngame,ownfax,news,response_01,response_02,response_03,ln_TotalSpent
region,1.0,0.41373730124299385,-0.01280973557078698,-0.01845528516484712,0.013173254904470936,0.01570965371058426,-0.004717454831713668,-0.013767673567528197,-0.011035782482832508,-0.009345220315522467,-0.04284887170144493,0.04299451599981666,0.041849787711753496,-0.005480385620319838,0.008176733662032552,0.03214516772805848,-0.006856350187853376,0.01563092951602437,0.056497902241694486,0.052841848684416895,0.05029896007057601,0.04820295321490291,-0.020350530181455665,0.022667313600843664,0.0026268400291234316,-0.010965304394596411,0.02429035850312893,0.02207630099474126,-0.020725557215285614,0.04561954931952444,0.017051802071953694,-0.004866634297338883,-0.0008424961235387485,0.01701181413820941,0.01665234730248471,0.008766252826654634,0.04026387978680391,0.03100436386612797,0.00980601332615337,-0.009820593026937852,0.050646709323668285,0.1888211704810712,-0.011979247969100949,0.011721638620154715,-0.017045380485383062,0.05161124816420995,0.055817724157263444,0.062416052264682005,0.10100696145051959,0.09931720113783864,0.12694190242534498,-0.023518503868881855,-0.006292324124091834,-0.010910510252094262,0.008363464544588478,0.0026124114850132256,0.012007209903027536,-0.014424642681863614,-0.028101091581225736,-0.0006038401530690314,0.004211725037362495,0.003786411279482318,-0.007267279250074594,0.008974083538118226,0.0031340221768164714,0.00216630521135222,0.0033012472954277016,0.0021822886203795616,0.011803454696428925,0.005007656375455059,-0.002514595808404543,0.018198306843321733,0.01108080415771689,0.013429109814927334,0.014396772797089513,0.013195366636615543,0.023630901153935423,0.025806937451791842,0.023975750055107256,0.02433569099908717,0.021972891979848756,0.022843844991287665,0.0314534732104126,0.032403725203836706,0.028534864396201752,0.021834861765981768,0.02292289061529944,0.018777936028457887,0.019668277079025017,0.019332231792321127,0.02608453205274332,0.028630064216082458,0.009907836814210922,0.03277829642433193,0.007721453760656233,0.02206062303825099,0.01131912358544654,0.04858873721619382,0.04022848898001522,0.020596103095384777,0.00750375526467471,0.02639122370644938,0.03662222783076409,0.012312041341883712,-0.01300439602693533,0.0058986728043478424,0.005694326401008566,0.03727280597238797
townsize,0.41373730124299385,1.0,0.008734384402805216,-0.06945793319615322,0.0019643899999705157,0.0031668899518433507,-0.0116065825651458,-0.019476904353608986,-0.05945244731959108,-0.058926072371339275,-0.06656910575887613,0.0013105423508267449,-0.007650919811960174,-0.019804545903764834,-0.029348999904097398,-0.0032958714029307887,0.02398840154894148,-0.03173089483849633,0.02986796666700692,0.026147042710394832,0.02328721682606256,0.04577485512202511,-0.01985227255775997,0.03111835808721657,-0.013839968780312425,0.012153161155118736,0.0024176549112286103,0.02302833865014259,-0.007224660368163411,0.023470733099080637,-0.0024412185269986663,-0.04255564707066636,-0.04368337024359609,0.004601916216531603,0.016134152358246574,-0.00916326058547144,0.002863007062643317,0.0019410433913013554,0.0020139596532907553,0.008876738250538977,0.12933438418748375,0.4870733788178926,-0.030826386900572763,-0.0046300141557448484,-0.016244207418025222,0.13076087537835723,0.11649613094380235,0.10054986587524448,0.1869735079236392,0.26125072260690263,0.29752390265644,-0.0211814864742546,-0.0038798486398152186,-0.015177794452059317,-0.01610626933266138,0.025274087850995403,-0.0005662653223365592,0.0007028415102622879,-0.007223441212456345,-0.041432268429808086,-0.03301186190337213,0.008009906763794003,0.0017724534336155371,0.02231949986888236,-0.028496512078320893,-0.039401173581484344,-0.032022452141480924,0.021965592837504055,0.009625320506097837,-0.029220667963867682,0.00040973070054451245,-0.015167838627488349,-0.0203817806895403,0.0006222303384040323,-0.005197498603998728,-0.005764031438885496,-0.006591824766236351,-0.004471577520261994,-0.0076442854954358866,-0.02434417009601578,-0.02283251944883947,-0.02788397896983093,0.007509914485233864,0.006140444936446987,0.002664957297137765,0.004571715083011998,-0.007197816486438472,-0.004504592984140767,0.002628797480139841,-0.011352107009062973,0.0028233899509477155,0.0028017131668562094,-0.008546003001364752,0.02638412166316391,0.000733029459113698,-0.004752783521180746,0.016187501196514215,0.020474843844562336,0.022169747193783847,0.0028687227231113635,0.005294361823327882,0.007850429132361494,-0.001266993791213398,-0.027939616070737586,-0.00599312181450949,-0.009738228784518035,-0.006940262122805419,0.009557001792859425
gender,-0.01280973557078698,0.008734384402805216,1.0,-0.007427183970713942,-0.0006430394574494421,-0.002672860872709925,-0.016470317789787636,0.00031085789258203535,-0.010945518269883842,-0.013842468242547468,-0.021039891951677023,0.001972915420741266,-0.00214873913123114,0.005308668217170174,0.005316262526259259,-0.0018167548695644895,-0.001620451957323412,0.0017819121977811984,0.0038882706176081193,0.002013271413370898,-0.0019178421432887829,0.0319494507517609,0.014868702078519945,-0.012092314196059366,0.025103187449716076,0.00613898236893124,0.008747399948488398,0.002267331124326443,0.023060886832580854,0.006350971910098897,0.0032001248082401037,-0.014109258290683878,-0.006029911678893558,0.014120372178123527,0.009135270484579669,0.013085756026875886,-0.007475380443101278,-0.0024082281013588784,0.005596929317453519,0.011661577203949449,-0.01176384374534002,0.009592254963971534,0.031083304410783552,-0.0017754467172351874,0.00324369165333787,-0.028759950032498337,0.0022919065312727157,-0.007104054017990956,0.013717527236574881,0.01940507440978124,0.005030103461682688,-0.006535926920568081,-0.014943963573984352,0.004640389680021984,-0.015293529694547059,0.048497567702745874,-0.023830302737962255,0.025206661196465825,0.018446412543529175,-0.020110893458539794,-0.006376889082090158,0.030362494726068535,0.01868579096432926,0.006584014751461114,0.006799331384567836,-0.013578002140876965,-0.008150102900163192,0.021339546044192484,0.015647256568715847,-0.009456473579435801,-0.013391432152145109,-0.021084826477493705,-0.010829141050769828,-0.010861862353655835,-0.013432771707358307,-0.011018609785092743,0.011701769077373927,0.009980734523347667,0.008328590454635394,-0.012769002569578483,-0.017344898682863673,-0.01632282309851196,-0.006170111687948815,-0.008597698218400077,-0.00599706363144943,-0.01983881383049967,-0.006052965959966811,-0.011541063859710883,-0.012860678571756462,-0.02492023471948803,-0.017734453442486444,-0.018901995467581343,0.02033532188797184,-0.000600304721067945,-0.00465521686946823,-0.0035697589115906542,0.012180538774173686,-0.002860503032320821,-0.0011159420271370786,-0.006962566283829168,-0.021319487443966147,0.0011643899517470469,0.009167199276695069,-0.020837290431122535,0.018057963940395,0.0013849308050523268,-0.00968506975214183,-0.07835127035698722
agecat,-0.01845528516484712,-0.06945793319615322,-0.007427183970713942,1.0,-0.0790214355191946,-0.06412362451684873,0.032554396431782116,0.004465367353396232,0.6767222412981135,0.7322463655956407,0.5113347421284692,0.19095158648829413,0.24939350353975223,0.04133935202606052,0.1362162621856148,0.15837301605687404,-0.39285866657502644,0.4225640022594802,0.004784605171086607,0.00047997299680455443,0.000823723220110176,-0.32922059942281273,0.021222870140823913,0.013146746255327968,-0.011076903587472079,0.013893801291554179,0.004075747168244577,-0.0011850059845155466,0.021683113659014167,-0.01479273272143235,-0.02718732924099975,0.7990256577538201,0.8290987796032492,-0.004668580840556352,-0.07091004241184547,0.012551431970908638,0.20046157624440344,0.16058460198932117,0.009064882372676705,0.016535621031369185,-0.0019715513198070075,-0.05389809600566053,-0.005475325476601577,-0.003276014230781749,0.028330575411529196,-0.003349829488157723,0.014767993762577456,-0.0015126464504527305,-0.01270395932795233,-0.01076573740634129,-0.012206582913939763,0.01272347302870294,-0.019324802358857005,-0.019001438708783434,0.016982917910678248,0.009448098896220957,-0.0015521071031192246,0.00999704040781716,0.005603813472454058,0.7179918506587396,0.6880273730154608,-0.010372446721836622,0.03644910976090377,-0.016360891238844565,-0.000202480398460674,0.6798861366943441,0.6685724879014644,-0.23786438939590948,0.11719266878133339,0.5964838935373757,-0.2563243388513666,0.5007014139938145,0.5579228308482697,0.004019173665866313,0.04165734277687392,0.09260090542072963,-0.1350743784404155,-0.1247866172052905,-0.07459700888353643,0.27690324101195174,0.30817622688004287,0.39904206877679255,-0.06685840967267771,-0.05065036797952941,-0.013879522507314458,0.2323166049685996,-0.06610656696279112,-0.05905114472102814,-0.118885041383408,0.008282683335923158,0.005250138740955066,0.012626107235692173,-0.11488880079266019,-0.059941709253173846,-0.0197395689005351,0.1263226607848628,0.12084796159015321,0.07888828999459925,-0.05948969297056547,-0.12319195492598073,-0.20868953188143952,-0.22338683001819262,-0.029309521220075962,0.34827479329883426,0.010039028136696266,0.010467453621367851,-0.014860222967633317,0.025910116951739493
ed,0.013173254904470936,0.0019643899999705157,-0.0006430394574494421,-0.0790214355191946,1.0,0.9638959094116821,-0.07229723905786377,0.000594226339222824,-0.21537355841707093,-0.1978842531280401,-0.09327781707149234,0.208097899902832,0.19675114615293737,0.01163336663018073,0.1299518962196627,0.1542468718458499,0.11014124911604795,-0.08012027422060261,-0.021443963747708704,0.1175633698739811,0.1702774929293818,0.02323020242853209,0.010228574235300701,0.028155076221564497,0.008050939705494127,-0.001301414245681641,0.00813129887693122,0.004736844903473451,0.02223350358956527,0.05120647575345459,0.018777264806610693,-0.05645334670207426,-0.033369984395881964,0.004356236747381565,0.039807277649676856,0.014746098224636418,0.15843266720211344,0.10570732426796443,-0.000501954353628372,-0.0031877583833964684,0.010422318965250938,-0.010247190153002713,0.001895334556547176,0.0010931210487798602,-0.011638663129543928,0.008032882319062561,0.001019093993804816,0.043161261730205146,0.025387516350237564,0.003633174427810492,0.005574711465197728,-0.0020938801541973136,0.0033604508977128386,0.0018196966340958516,0.017417556084232098,-0.02089291211475099,-0.017361492982859668,-0.015565959289664259,-0.021656334973384553,-0.09444925081731387,-0.04740716143425471,-0.09240356964267796,-0.02170770525895727,-0.01243122937092635,-0.0211369502913342,-0.09737514479898693,-0.06081147543208837,0.01574135950182574,0.009694397694489522,-0.09517007900076385,0.23924579303343466,-0.09006884842277973,-0.07948320524110383,0.028533048021411225,0.026273083159603115,0.020447885005270845,0.4358475035890139,0.4446951351872225,0.4341679631416605,-0.048743608714235526,-0.050235666615632835,-0.061795958953649546,0.3301819302892852,0.34143240512889544,0.3302618538764639,0.26098509439996725,0.3342011258805826,0.3155097550069456,0.4634435144678478,0.045580351825152125,0.038577619129270706,0.04420704240446903,0.42786474025988863,0.027896292185370875,-0.009503169325876583,0.06450525192520666,0.06218149279224393,0.05318943924395709,0.2998708446875252,0.43503435030280174,0.3692557414083484,0.3762353598672816,0.2767495542197729,-0.07364362062561543,-0.11760632418611554,0.07320706296870391,0.10717066447017361,0.09750568735353174
edcat,0.01570965371058426,0.0031668899518433507,-0.002672860872709925,-0.06412362451684873,0.9638959094116821,1.0,-0.06900235035563318,-0.0032401482558977895,-0.20041945863676,-0.1856724116816691,-0.08932152755025581,0.20808457321159385,0.19724994480520416,0.009446864177995782,0.1279163614780826,0.15494699095683886,0.10371432949784791,-0.06566661518104809,-0.02229250996185853,0.11113651906812778,0.16474580665243474,0.014514467069266538,0.013167176539046348,0.030387412920723274,0.013713802098744536,0.0005999857412707135,0.003756801273901577,0.006829194108643378,0.01829401263807823,0.05453523999940147,0.021945332660589557,-0.04398366970109366,-0.02050078432609925,-0.0016181836853349247,0.033752174466204425,0.011866395539019062,0.15723426292310505,0.10528601440800497,0.0031004709712626364,-0.006172582503247643,0.009359320382311109,-0.014800674640197853,0.0009051429291746522,0.0039516067962117015,-0.014191335530755671,0.0066688358820281984,0.0016066281634195315,0.03902760408062028,0.023275529815704386,0.00693525044502601,0.001250166663929562,-0.0028221761956941983,-0.0010801775855218305,0.005266097633662497,0.013936729874110982,-0.015564115253608343,-0.012327348033350817,-0.011449792428734274,-0.02051157286694761,-0.08213071142952003,-0.03367983229245448,-0.09270839942724175,-0.023377153829551772,-0.011412792411161504,-0.01184550992532764,-0.08558169532948488,-0.04840594082649994,0.009675610621222078,0.012956532039015697,-0.08674719481528598,0.2312728796896311,-0.08417980225704193,-0.07203976976275074,0.03205622877319384,0.029788370102813704,0.025029315362911288,0.42972477870001036,0.43859153857668937,0.42855740445572627,-0.046291180406846794,-0.04706072287227284,-0.05742260008115396,0.3220057510895197,0.3337485779479614,0.3226875556087168,0.25261510512042573,0.3275545515045937,0.3112928876731727,0.45132626025980566,0.04710593944935068,0.03607287410495418,0.04656804820753741,0.41626945021895206,0.030799288579591598,-0.008986733417752824,0.06982142623885874,0.06656944353263751,0.05656300685435941,0.29312545473795526,0.4146193557263217,0.3574810397546767,0.3611908182010901,0.2736457712798073,-0.06842010397936456,-0.11265272038787337,0.07017215915477958,0.10622336859243701,0.0940926333915294
jobcat,-0.004717454831713668,-0.0116065825651458,-0.016470317789787636,0.032554396431782116,-0.07229723905786377,-0.06900235035563318,1.0,0.08477773724335763,0.41647156971137084,0.3467227260637414,0.1737358252946339,0.05485240916484224,0.06755492610019755,0.005491778724709536,0.030806645520653965,0.030164528451432946,-0.08602224348125799,0.17170268847982503,0.003116214583175286,-0.0033977427837528105,-0.007822766776116818,-0.015511774105750121,-0.020794297511262605,-0.0010111934384635236,0.0008045220045843769,0.007321441083139687,0.003773202731668514,-0.012600803620061232,0.01921849488501041,0.028167310137192113,-0.022920499132203634,0.04844063953806919,0.04135012368802791,0.017468206835451718,0.001892997523134689,0.010942308068279435,0.09490732508407886,0.05517308696290749,-0.0033719250945142554,-0.006662725327767736,-0.021748520339583594,-0.006661582273510421,0.025452244045061426,0.0022050939319620774,-0.010879734544979562,-0.006605338078458721,-0.002732033270964672,-0.027458384146337625,-0.01311481348584755,-0.016240757950110797,0.01186884373638082,-0.001659030486879604,0.015027574457338806,-0.017910817344067163,0.0015294405907942885,-0.020424065544171855,0.01221063624087023,-0.03130254074340811,-0.010978920445094839,0.1485281404302333,0.10294731152542444,0.02012415136722747,-0.005357683799453854,-0.013699571285296612,0.029617447030307654,0.15940634443061327,0.1168265720974068,-0.028845525992238264,0.028366708018136916,0.150106510679506,-0.06221073066801671,0.15918543834462054,0.14509878093126263,0.013099740410393083,0.02665098290859455,0.038226112892490983,-0.04680932929604016,-0.044283800406424406,-0.03196448844113948,0.09400186149787264,0.10899337247903886,0.12490968173523466,-0.015514928552958602,-0.01205064452907739,-0.0037055411630030483,0.08027876443843647,-0.029174744286687853,-0.025179549070989047,-0.03965328581107585,0.030651895422535137,0.019355159363718937,0.004103123671313948,-0.04253979697387248,0.0035506068776861464,-0.030834552563164655,0.025123582514733695,0.011965734242657428,0.022038144770403813,-0.009352225881295723,-0.03792944252226094,-0.026887992055816524,-0.05027830048014504,0.008409086642382787,0.09086051597615574,0.00013705351678807264,0.002887842972127801,-0.00841528416335608,-0.009458365936167492
union,-0.013767673567528197,-0.019476904353608986,0.00031085789258203535,0.004465367353396232,0.000594226339222824,-0.0032401482558977895,0.08477773724335763,1.0,0.03484607536465379,0.028027940817487444,0.016391578185363843,0.008125876761163747,0.013028145381767678,-0.004069436774682169,0.010123797228027056,-0.0065267751626159895,-0.017210116796324615,-0.007664024475190081,-0.004504603236598992,-0.00232727131299757,-0.0020413770260804594,0.0047166858617984095,-0.021601131839696527,-0.007472487649966975,-0.00956008175850133,0.027364218264563766,0.0023189424229113427,-0.020487680656734487,0.03402260990050182,0.0023380329239252855,-0.0073120208727848884,0.0018818626752205379,0.0018476000891966059,0.0035300312445977872,-0.001618485052464208,-0.002496166754927129,0.005014096030940046,-0.0058794487154299555,-0.030318062353667713,0.008234285808954656,-0.0030557889478442317,-0.003554773739667604,-0.005170704232564426,0.021037691504477592,-0.0031131002359262683,-0.006748217435580088,-0.01575796701407889,0.0035682231964256892,-0.0038878046658894264,-0.017395261968863526,-0.005119540907176225,-0.003040647663683552,-0.006939178829584782,0.006507217080820537,0.010179664905910846,-0.025885832368563347,0.009338848852388702,0.005804658408063483,0.0064224284219206295,0.01519809813794038,0.00893181922633774,0.0040698646251116286,-0.01654178577502157,-0.016842940419978327,0.004976068543164651,0.015807890453325726,0.007787118357961022,0.007502773458445351,0.007873981340102804,0.003601310533609939,0.008448820852362671,0.01744218312426887,0.015520228549898924,0.015031598827906435,0.01797440798924888,0.018511413778302985,0.013374815817337805,0.014044248921351865,0.014120706095369537,0.019259129259997704,0.018541915118854665,0.018383519988577877,0.03121376540865836,0.030922089907127522,0.03033907303967794,0.03659902023036659,0.03393249116622862,0.034905481555602746,0.004662262722265871,0.0143895020133505,0.0175056309958304,0.017470959670491004,0.0040517166739202975,-0.004957835160100253,-0.009686754556174477,0.005636076392702999,0.012555199394975495,0.006250670326297047,0.019564592968862878,0.006489376437016662,-0.005895171608928878,0.006765115379985228,0.02451630658002746,0.007508301495302348,-0.010491623272990998,0.006430579889827601,0.004478954400623966,0.022655436676989174
employ,-0.011035782482832508,-0.05945244731959108,-0.010945518269883842,0.6767222412981135,-0.21537355841707093,-0.20041945863676,0.41647156971137084,0.03484607536465379,1.0,0.8981623306282392,0.5028698823823943,0.2664712701924192,0.31287122586261307,0.03319217104543059,0.17345881311122838,0.19492781742372267,-0.3270871289259349,0.46136183030426076,-0.007134228450683955,-0.030436950081237292,-0.03626063824310627,-0.24291019657061919,0.008094346822693799,0.0042512634715487045,-0.012746233829400206,-0.00665631208207725,0.007384423327816666,-0.012844862502114885,0.026304590004840596,0.02140023136680337,-0.04150274182081276,0.6064404681529093,0.5952248472560281,-0.0009622790058316728,-0.0390333659668296,0.002390204403531274,0.2896093442433032,0.19588118234692645,0.006062822264608798,0.014208349521560686,-0.0035227728638041436,-0.031677435840628536,-0.0007386608736338283,0.003421769459827193,0.027343750267408633,0.007871576939922605,0.003707072099659895,-0.02103577463956566,-0.02803003688520472,-0.012886953158265123,-0.0012566063767950003,0.015025098669187126,-0.0048135167373462295,-0.022048225138221158,0.024140007720207038,0.00010002325309234378,0.004787985675610439,-0.0021280885733216356,0.012940013453234644,0.6775235054597313,0.5552180224632055,0.000560994373060599,0.026430062535838038,-0.0037720788132268746,0.022823835826061328,0.6548753926525318,0.5763194773554163,-0.16797803927009988,0.09224573046279849,0.5854785960382173,-0.25411304186027694,0.5312009112817664,0.5383737924108738,0.022942137576699977,0.0657133482594282,0.10926544129367008,-0.17386237831602105,-0.16382425504781706,-0.12322831454946738,0.29068320345188986,0.3334647319621198,0.4094957599351792,-0.08094487780996759,-0.06543964296922444,-0.033408593447923164,0.22162355693330965,-0.08064348421901578,-0.0870127201186088,-0.15477082392072608,0.03675878086333963,0.029283216926192995,0.028524916835133918,-0.15181661030613464,0.016139468611374632,-0.00041774616275269775,0.12683232578484133,0.12441327654254634,0.10687422370674178,-0.07040794169241119,-0.16133652368742535,-0.19810992296207786,-0.21839899149614417,-0.040181448754449574,0.3671606665291742,0.04009558683903281,0.014430264865687598,-0.028479955160068796,0.06662481126369069
empcat,-0.009345220315522467,-0.058926072371339275,-0.013842468242547468,0.7322463655956407,-0.1978842531280401,-0.1856724116816691,0.3467227260637414,0.028027940817487444,0.8981623306282392,1.0,0.40809593651380516,0.333456239300409,0.3848032133390824,0.031172404186303716,0.20905636353934376,0.2389207053323221,-0.3779851412017135,0.5136732415916394,0.0016053284298061987,-0.020121697806392554,-0.02471991088942355,-0.2563615376515937,0.013853522678392198,0.009205159848516614,-0.0094121739690969,-0.0056037419668206355,0.009345830890469798,-0.008881102743020135,0.02840709167253991,0.021710210644870193,-0.039946024447596554,0.6371678452226104,0.6641108105365148,0.00863390892678714,-0.018673961947748556,0.012012716700278685,0.3328400853478092,0.24596616199944604,0.017507660753555566,0.017668376391086257,-0.0005427440361533886,-0.04491066739111043,0.005843866153595313,-0.0010993813136715418,0.023696145710197767,-0.009298486102515558,0.009417835871020373,-0.014453525320331688,-0.02235201591510679,-0.014903245549303603,0.0003995748833877815,0.0071705717490159184,-0.008616036641515383,-0.01940045391038096,0.02013603978850373,-0.0006173747677737247,0.014381196453668144,-0.0010528081536710365,0.012270938538511725,0.6880577332494784,0.6307487409474812,-0.01149858745142006,0.04199968983865135,-0.00653466345404738,0.015202454843624208,0.6706493427729964,0.6361838119542653,-0.18842941184230494,0.10748330132790747,0.6032935056429671,-0.2743082331736719,0.5244679088744663,0.561948526398916,0.034249755712162766,0.0770750727923653,0.12617970389915398,-0.16642880322767775,-0.15490454486679708,-0.10508580608540452,0.3053873098334577,0.3418692377974739,0.4272283621448903,-0.0671849060431412,-0.05049014181863121,-0.012095945631595266,0.23254742431703046,-0.07603691085549505,-0.0701880429512214,-0.14803497664816023,0.05852389229863214,0.04434037136683794,0.04162874386555979,-0.15178241223778205,0.017323327196508538,-0.004440240053382054,0.16811525016232506,0.16062107605062445,0.1381734136849915,-0.05400990589289395,-0.15239428129450508,-0.19271613156840245,-0.21111788654905717,-0.03582602110699671,0.3692055916097612,0.030418220451335035,0.017503799641802285,-0.032849811199391565,0.09342821604582718
